exposure_id,user_id,channel,campaign_id,exposed_at,ad_format
1,2,google,GOOGLE_SPRING24,2024-03-08 20:59:30,display
2,6,instagram,INSTAGRAM_SUMMER24,2023-09-13 19:43:25,search
3,7,google,GOOGLE_WELCOME,2023-12-20 11:04:00,search
4,7,email,EMAIL_RETARGET,2024-01-15 14:31:20,social
5,7,email,EMAIL_BRAND,2024-02-10 21:37:10,social
6,8,email,EMAIL_SPRING24,2024-02-05 12:59:10,video
7,8,google,GOOGLE_SPRING24,2024-03-09 03:48:33,display
8,8,email,EMAIL_SPRING24,2024-03-14 01:57:57,display
9,8,email,EMAIL_SUMMER24,2024-03-12 23:13:03,search
10,8,instagram,INSTAGRAM_BRAND,2024-02-29 05:13:35,video
11,12,google,GOOGLE_RETARGET,2023-09-09 17:21:16,display
12,13,google,GOOGLE_WELCOME,2024-04-30 15:10:41,display
13,13,google,GOOGLE_WELCOME,2024-05-12 02:29:18,social
14,13,google,GOOGLE_WELCOME,2024-05-24 02:16:21,social
15,13,email,EMAIL_RETARGET,2024-06-22 01:06:48,social
16,14,instagram,INSTAGRAM_BRAND,2024-05-06 17:35:41,search
17,14,instagram,INSTAGRAM_WELCOME,2024-05-10 04:53:23,video
18,15,google,GOOGLE_SUMMER24,2024-01-11 06:29:11,video
19,16,google,GOOGLE_WELCOME,2023-08-24 04:21:53,video
20,17,facebook,FACEBOOK_RETARGET,2024-03-10 23:33:41,display
21,17,email,EMAIL_RETARGET,2024-04-18 00:19:29,video
22,17,email,EMAIL_SUMMER24,2024-02-16 06:29:32,social
23,17,facebook,FACEBOOK_WELCOME,2024-03-18 17:00:56,search
24,19,instagram,INSTAGRAM_BRAND,2024-06-29 19:34:09,search
25,19,facebook,FACEBOOK_BRAND,2024-06-07 10:15:37,video
26,22,google,GOOGLE_WELCOME,2023-08-23 17:04:14,display
27,22,instagram,INSTAGRAM_BRAND,2023-07-13 16:54:40,video
28,22,email,EMAIL_BRAND,2023-07-02 08:08:46,search
29,22,google,GOOGLE_RETARGET,2023-08-02 00:21:50,display
30,23,google,GOOGLE_RETARGET,2023-09-21 08:55:42,video
31,23,email,EMAIL_BRAND,2023-08-21 03:25:14,video
32,23,google,GOOGLE_RETARGET,2023-08-01 15:05:07,video
33,23,google,GOOGLE_RETARGET,2023-08-23 01:01:29,video
34,23,instagram,INSTAGRAM_RETARGET,2023-08-26 03:34:27,social
35,24,email,EMAIL_SPRING24,2024-04-01 20:56:24,display
36,24,instagram,INSTAGRAM_WELCOME,2024-03-09 15:41:37,search
37,24,facebook,FACEBOOK_BRAND,2024-02-10 09:27:21,video
38,24,facebook,FACEBOOK_RETARGET,2024-03-05 05:49:36,display
39,24,email,EMAIL_RETARGET,2024-04-20 05:46:13,video
40,25,google,GOOGLE_WELCOME,2023-08-31 16:02:51,display
41,25,facebook,FACEBOOK_RETARGET,2023-09-02 07:11:49,display
42,26,google,GOOGLE_SPRING24,2023-08-22 07:25:25,social
43,27,email,EMAIL_SUMMER24,2023-06-21 08:30:46,social
44,27,google,GOOGLE_SUMMER24,2023-07-09 00:31:22,display
45,27,google,GOOGLE_SPRING24,2023-07-06 22:40:46,video
46,27,facebook,FACEBOOK_BRAND,2023-08-17 03:02:42,social
47,29,google,GOOGLE_BRAND,2023-12-29 03:12:51,search
48,29,facebook,FACEBOOK_SUMMER24,2023-12-14 22:01:32,video
49,29,google,GOOGLE_WELCOME,2023-11-05 15:29:03,social
50,29,google,GOOGLE_RETARGET,2023-12-19 21:13:23,search
51,29,facebook,FACEBOOK_RETARGET,2023-12-29 11:36:39,social
52,32,google,GOOGLE_BRAND,2023-07-05 11:54:38,video
53,32,google,GOOGLE_RETARGET,2023-07-06 18:49:04,video
54,34,google,GOOGLE_RETARGET,2023-11-26 04:28:07,search
55,34,facebook,FACEBOOK_SPRING24,2023-11-04 09:49:12,video
56,34,email,EMAIL_WELCOME,2023-11-16 16:28:34,display
57,34,email,EMAIL_BRAND,2024-01-04 07:10:45,video
58,35,google,GOOGLE_RETARGET,2024-01-14 07:58:21,search
59,35,instagram,INSTAGRAM_SPRING24,2024-01-25 18:11:23,video
60,36,google,GOOGLE_BRAND,2023-09-20 20:15:44,video
61,36,facebook,FACEBOOK_WELCOME,2023-09-20 02:00:11,video
62,36,facebook,FACEBOOK_RETARGET,2023-09-07 22:53:52,search
63,36,facebook,FACEBOOK_RETARGET,2023-07-28 00:21:17,video
64,36,instagram,INSTAGRAM_BRAND,2023-08-31 21:48:33,social
65,38,facebook,FACEBOOK_BRAND,2023-07-19 05:31:59,search
66,38,instagram,INSTAGRAM_WELCOME,2023-08-31 18:49:16,social
67,40,email,EMAIL_BRAND,2023-11-29 07:36:15,search
68,40,google,GOOGLE_SPRING24,2023-11-06 01:04:10,display
69,41,google,GOOGLE_RETARGET,2023-08-30 05:12:41,social
70,41,google,GOOGLE_WELCOME,2023-08-11 03:23:02,search
71,42,instagram,INSTAGRAM_BRAND,2023-08-18 01:35:08,display
72,42,email,EMAIL_SUMMER24,2023-09-18 10:20:00,search
73,42,email,EMAIL_BRAND,2023-09-07 18:48:11,display
74,43,google,GOOGLE_SUMMER24,2024-03-28 09:44:24,display
75,43,instagram,INSTAGRAM_RETARGET,2024-04-10 14:54:14,video
76,43,facebook,FACEBOOK_SPRING24,2024-03-17 19:22:00,search
77,44,google,GOOGLE_SUMMER24,2024-01-26 05:27:48,video
78,44,instagram,INSTAGRAM_BRAND,2024-01-06 07:45:36,social
79,44,google,GOOGLE_SUMMER24,2023-12-25 21:15:45,social
80,44,email,EMAIL_RETARGET,2024-01-21 07:37:42,video
81,48,instagram,INSTAGRAM_WELCOME,2023-07-18 10:56:38,display
82,48,facebook,FACEBOOK_WELCOME,2023-07-25 18:46:44,search
83,48,google,GOOGLE_SPRING24,2023-06-27 03:37:45,display
84,49,email,EMAIL_SPRING24,2024-06-08 03:24:26,video
85,49,email,EMAIL_SUMMER24,2024-07-09 02:39:44,social
86,50,google,GOOGLE_SPRING24,2024-06-06 05:14:30,video
87,50,instagram,INSTAGRAM_SUMMER24,2024-05-30 18:42:11,video
88,50,google,GOOGLE_SPRING24,2024-05-15 13:23:39,display
89,50,email,EMAIL_SUMMER24,2024-05-30 11:04:26,display
90,52,facebook,FACEBOOK_WELCOME,2023-09-12 22:45:14,video
91,52,email,EMAIL_SUMMER24,2023-09-06 11:11:29,video
92,54,facebook,FACEBOOK_SPRING24,2024-05-18 15:19:11,video
93,54,email,EMAIL_SUMMER24,2024-05-14 03:29:27,search
94,54,instagram,INSTAGRAM_BRAND,2024-04-16 14:48:24,social
95,54,facebook,FACEBOOK_SPRING24,2024-03-27 19:55:40,search
96,55,google,GOOGLE_BRAND,2024-06-29 09:00:39,social
97,56,google,GOOGLE_RETARGET,2023-07-23 16:48:46,video
98,56,email,EMAIL_SUMMER24,2023-08-15 16:17:58,search
99,56,google,GOOGLE_SUMMER24,2023-07-30 18:35:44,social
100,56,instagram,INSTAGRAM_SPRING24,2023-08-02 10:03:30,display
101,57,google,GOOGLE_BRAND,2023-10-22 10:28:31,display
102,57,instagram,INSTAGRAM_BRAND,2023-12-13 15:21:32,social
103,57,facebook,FACEBOOK_SUMMER24,2023-12-22 12:42:49,search
104,59,facebook,FACEBOOK_RETARGET,2024-05-02 19:01:18,display
105,61,google,GOOGLE_SUMMER24,2024-01-17 02:00:55,video
106,61,facebook,FACEBOOK_WELCOME,2023-12-17 01:43:01,video
107,64,facebook,FACEBOOK_BRAND,2023-10-17 16:21:28,display
108,64,facebook,FACEBOOK_BRAND,2023-10-27 18:20:03,display
109,64,google,GOOGLE_RETARGET,2023-11-13 09:44:17,search
110,64,google,GOOGLE_RETARGET,2023-10-07 00:33:02,search
111,67,facebook,FACEBOOK_SUMMER24,2024-03-26 04:24:01,display
112,67,instagram,INSTAGRAM_WELCOME,2024-04-18 23:16:01,social
113,67,google,GOOGLE_RETARGET,2024-03-31 12:37:28,display
114,68,email,EMAIL_SPRING24,2024-02-04 14:40:10,display
115,68,instagram,INSTAGRAM_WELCOME,2024-02-14 20:28:39,social
116,68,google,GOOGLE_SPRING24,2024-02-01 21:30:15,social
117,70,facebook,FACEBOOK_BRAND,2023-10-01 18:12:13,search
118,70,facebook,FACEBOOK_BRAND,2023-11-09 00:13:47,display
119,70,facebook,FACEBOOK_WELCOME,2023-10-29 15:01:12,display
120,70,instagram,INSTAGRAM_SPRING24,2023-09-14 06:03:16,social
121,74,email,EMAIL_SPRING24,2023-08-02 01:00:15,video
122,74,instagram,INSTAGRAM_SUMMER24,2023-06-06 10:43:31,social
123,74,facebook,FACEBOOK_SUMMER24,2023-06-30 17:59:13,video
124,74,google,GOOGLE_WELCOME,2023-06-07 12:20:02,video
125,74,email,EMAIL_WELCOME,2023-07-08 20:40:32,video
126,75,google,GOOGLE_WELCOME,2024-05-14 04:04:19,search
127,75,facebook,FACEBOOK_WELCOME,2024-04-11 14:07:05,video
128,75,instagram,INSTAGRAM_SPRING24,2024-04-30 03:41:56,display
129,76,instagram,INSTAGRAM_WELCOME,2024-02-17 05:13:02,search
130,76,email,EMAIL_RETARGET,2024-02-19 09:27:31,video
131,76,google,GOOGLE_SUMMER24,2024-03-11 18:46:09,display
132,78,facebook,FACEBOOK_SPRING24,2024-04-20 11:10:11,social
133,78,google,GOOGLE_BRAND,2024-05-23 11:34:30,search
134,78,email,EMAIL_SPRING24,2024-04-30 01:58:39,social
135,78,facebook,FACEBOOK_BRAND,2024-05-01 09:27:57,video
136,78,instagram,INSTAGRAM_WELCOME,2024-05-24 09:05:11,social
137,79,instagram,INSTAGRAM_WELCOME,2023-09-30 11:02:46,search
138,79,instagram,INSTAGRAM_RETARGET,2023-11-08 01:53:32,search
139,80,facebook,FACEBOOK_RETARGET,2024-03-14 06:40:52,video
140,81,instagram,INSTAGRAM_RETARGET,2023-11-03 16:30:15,search
141,81,email,EMAIL_WELCOME,2023-09-04 21:35:09,social
142,81,google,GOOGLE_SPRING24,2023-10-27 07:57:12,search
143,82,email,EMAIL_SPRING24,2023-08-05 01:13:47,display
144,82,facebook,FACEBOOK_SUMMER24,2023-08-04 06:33:16,display
145,82,facebook,FACEBOOK_RETARGET,2023-07-21 08:07:06,search
146,82,google,GOOGLE_BRAND,2023-07-07 07:49:57,video
147,82,email,EMAIL_RETARGET,2023-07-27 20:40:44,display
148,83,facebook,FACEBOOK_SPRING24,2024-04-22 16:40:33,search
149,83,email,EMAIL_SPRING24,2024-03-19 05:48:01,display
150,83,facebook,FACEBOOK_BRAND,2024-05-03 13:50:39,search
151,83,facebook,FACEBOOK_RETARGET,2024-04-17 00:49:06,display
152,83,instagram,INSTAGRAM_RETARGET,2024-04-22 11:30:22,display
153,86,email,EMAIL_BRAND,2023-12-04 13:08:10,social
