date,channel,campaign_id,spend,impressions,clicks
2023-06-01,google,GOOGLE_SUMMER24,40.32,2653,83
2023-06-01,facebook,FACEBOOK_SUMMER24,27.55,1367,71
2023-06-01,instagram,INSTAGRAM_SUMMER24,340.78,7630,483
2023-06-01,email,EMAIL_SUMMER24,13.96,1649,39
2023-06-02,google,GOOGLE_SUMMER24,268.44,13304,296
2023-06-02,facebook,FACEBOOK_SUMMER24,542.86,16380,1062
2023-06-02,instagram,INSTAGRAM_SUMMER24,168.48,7486,551
2023-06-02,email,EMAIL_SUMMER24,163.27,7933,
2023-06-03,google,GOOGLE_SUMMER24,757.52,12414,865
2023-06-03,facebook,FACEBOOK_SUMMER24,121.05,12101,312
2023-06-03,instagram,INSTAGRAM_SUMMER24,661.66,15885,600
2023-06-03,email,EMAIL_SUMMER24,679.23,13249,695
2023-06-04,google,GOOGLE_SUMMER24,65.43,7050,258
2023-06-04,facebook,FACEBOOK_SUMMER24,552.58,18641,476
2023-06-04,instagram,INSTAGRAM_SUMMER24,177.59,3437,266
2023-06-04,email,EMAIL_SUMMER24,181.11,9089,430
2023-06-05,google,GOOGLE_SUMMER24,64.43,9106,174
2023-06-05,facebook,FACEBOOK_SUMMER24,34.82,,109
2023-06-05,instagram,INSTAGRAM_SUMMER24,86.96,10069,279
2023-06-05,email,EMAIL_SUMMER24,283.32,5555,334
2023-06-06,google,GOOGLE_SUMMER24,252.74,12091,463
2023-06-06,facebook,FACEBOOK_SUMMER24,53.87,7416,267
2023-06-06,instagram,INSTAGRAM_SUMMER24,464.24,16188,1141
2023-06-06,email,EMAIL_SUMMER24,520.43,13502,781
2023-06-07,google,GOOGLE_SUMMER24,207.05,10830,281
2023-06-07,facebook,FACEBOOK_SUMMER24,48.89,5365,58
2023-06-07,instagram,INSTAGRAM_SUMMER24,48.73,2378,108
2023-06-07,email,EMAIL_SUMMER24,221.06,12472,461
2023-06-08,google,GOOGLE_SUMMER24,430.32,8738,435
2023-06-08,facebook,FACEBOOK_SUMMER24,490.97,14528,1139
2023-06-08,instagram,INSTAGRAM_SUMMER24,75.82,11311,452
2023-06-08,email,EMAIL_SUMMER24,1210.43,19912,1571
2023-06-09,google,GOOGLE_SUMMER24,16.11,2472,107
2023-06-09,facebook,FACEBOOK_SUMMER24,72.35,5687,322
2023-06-09,instagram,INSTAGRAM_SUMMER24,15.89,3442,70
2023-06-09,email,EMAIL_SUMMER24,432.76,13722,581
2023-06-10,google,GOOGLE_SUMMER24,129.94,16050,402
2023-06-10,facebook,FACEBOOK_SUMMER24,105.16,6574,126
2023-06-10,instagram,INSTAGRAM_SUMMER24,1068.68,19399,1502
2023-06-10,email,EMAIL_SUMMER24,481.53,7315,554
2023-06-11,google,GOOGLE_SUMMER24,180.96,4277,223
2023-06-11,facebook,FACEBOOK_SUMMER24,961.27,17293,986
2023-06-11,instagram,INSTAGRAM_SUMMER24,32.15,1996,42
2023-06-11,email,EMAIL_SUMMER24,167.15,12890,374
2023-06-12,google,GOOGLE_SUMMER24,6.5,725,43
2023-06-12,facebook,FACEBOOK_SUMMER24,485.78,10631,511
2023-06-12,instagram,INSTAGRAM_SUMMER24,1227.96,15250,1138
2023-06-12,email,EMAIL_SUMMER24,562.94,11888,473
2023-06-13,google,GOOGLE_SUMMER24,260.78,8504,295
2023-06-13,facebook,FACEBOOK_SUMMER24,372.33,9425,467
2023-06-13,instagram,INSTAGRAM_SUMMER24,310.7,19028,1056
2023-06-13,email,EMAIL_SUMMER24,590.04,12655,652
2023-06-14,google,GOOGLE_SUMMER24,209.39,5778,244
2023-06-14,facebook,FACEBOOK_SUMMER24,634.94,10789,571
2023-06-14,instagram,INSTAGRAM_SUMMER24,312.77,11490,606
2023-06-14,email,EMAIL_SUMMER24,758.56,11326,710
2023-06-15,google,GOOGLE_SUMMER24,569.15,8934,580
2023-06-15,facebook,FACEBOOK_SUMMER24,423.07,19803,537
2023-06-15,instagram,INSTAGRAM_SUMMER24,313.29,19450,808
2023-06-15,email,EMAIL_SUMMER24,1151.01,17730,1119
2023-06-16,google,GOOGLE_SUMMER24,388.38,19941,657
2023-06-16,facebook,FACEBOOK_SUMMER24,780.82,19361,1100
2023-06-16,instagram,INSTAGRAM_SUMMER24,49.86,9334,158
2023-06-16,email,EMAIL_SUMMER24,251.36,15099,287
2023-06-17,google,GOOGLE_SUMMER24,363.38,11209,348
2023-06-17,facebook,FACEBOOK_SUMMER24,325.71,14026,504
2023-06-17,instagram,INSTAGRAM_SUMMER24,42.48,8509,91
2023-06-17,email,EMAIL_SUMMER24,41.95,2600,53
2023-06-18,google,GOOGLE_SUMMER24,205.16,12157,212
2023-06-18,facebook,FACEBOOK_SUMMER24,665.71,13393,944
2023-06-18,instagram,INSTAGRAM_SUMMER24,905.44,15945,1235
2023-06-18,email,EMAIL_SUMMER24,246.85,7656,582
2023-06-19,google,GOOGLE_SUMMER24,161.73,11223,423
2023-06-19,facebook,FACEBOOK_SUMMER24,68.76,2074,149
2023-06-19,instagram,INSTAGRAM_SUMMER24,25.08,4947,61
2023-06-19,email,EMAIL_SUMMER24,69.22,7312,408
2023-06-20,google,GOOGLE_SUMMER24,904.9,17029,1054
2023-06-20,facebook,FACEBOOK_SUMMER24,16.68,1418,17
2023-06-20,instagram,INSTAGRAM_SUMMER24,112.93,5115,254
2023-06-20,email,EMAIL_SUMMER24,221.3,3438,189
2023-06-21,google,GOOGLE_SUMMER24,247.62,6670,530
2023-06-21,facebook,FACEBOOK_SUMMER24,306.75,12513,954
2023-06-21,instagram,INSTAGRAM_SUMMER24,278.15,13307,448
2023-06-21,email,EMAIL_SUMMER24,39.46,5725,136
2023-06-22,google,GOOGLE_SUMMER24,27.32,4966,55
2023-06-22,facebook,FACEBOOK_SUMMER24,7.99,826,21
