item_id,order_id,product_id,quantity,unit_price
1,1,49,3,43.96
2,1,5,2,13.14
3,2,2,1,31.76
4,2,26,3,32.36
5,2,37,2,43.27
6,2,19,1,37.65
7,3,50,2,36.84
8,3,37,3,43.27
9,4,35,3,27.05
10,5,28,1,6.9
11,5,18,1,43.99
12,6,29,3,15.68
13,7,38,3,34.76
14,7,8,3,17.61
15,7,6,3,35.54
16,7,12,3,13.76
17,8,14,3,38.08
18,8,6,2,35.54
19,9,7,1,42.07
20,9,23,2,39.18
21,9,24,3,11.0
22,9,20,2,16.44
23,10,3,1,18.37
24,10,10,3,17.69
25,10,16,1,4.73
26,11,40,2,12.56
27,11,27,1,14.62
28,11,11,1,30.97
29,12,14,2,38.08
30,12,20,2,16.44
31,12,26,3,32.36
32,12,41,2,14.84
33,13,49,1,43.96
34,13,39,1,23.47
35,13,47,1,36.5
36,13,34,1,14.43
37,14,39,1,23.47
38,14,41,2,14.84
39,15,31,2,17.64
40,16,19,1,37.65
41,16,40,2,12.56
42,16,7,1,42.07
43,16,16,3,4.73
44,17,49,2,43.96
45,17,9,2,36.33
46,17,21,3,21.81
47,18,41,1,14.84
48,18,3,1,18.37
49,19,29,2,15.68
50,19,14,3,38.08
51,19,30,2,9.0
52,19,40,1,12.56
53,20,32,2,37.88
54,20,50,3,36.84
55,20,36,1,10.19
56,21,15,2,21.72
57,22,26,1,32.36
58,22,33,1,27.75
59,23,45,1,5.16
60,23,34,2,14.43
61,24,35,2,27.05
62,24,40,1,12.56
63,25,47,1,36.5
64,25,20,1,16.44
65,26,10,1,17.69
66,26,31,1,17.64
67,27,15,2,21.72
68,28,49,3,43.96
69,28,21,1,21.81
70,28,1,3,11.11
71,29,20,3,16.44
72,29,8,2,17.61
73,29,35,1,27.05
74,29,48,1,30.19
75,30,41,2,14.84
76,31,6,3,35.54
77,32,50,2,36.84
78,33,7,3,42.07
79,34,39,1,23.47
80,34,34,3,14.43
81,34,43,1,20.55
82,34,25,3,43.06
83,35,26,2,32.36
84,35,46,3,43.37
85,35,48,2,30.19
86,35,3,2,18.37
87,36,37,1,43.27
88,36,12,3,13.76
89,37,23,2,39.18
90,37,16,1,4.73
91,37,18,2,43.99
92,38,32,2,37.88
93,38,6,2,35.54
94,39,41,2,14.84
95,40,49,1,43.96
96,40,11,1,30.97
97,40,21,1,21.81
98,41,26,3,32.36
99,41,40,1,12.56
100,42,26,1,32.36
101,42,9,3,36.33
102,42,25,2,43.06
103,43,43,1,20.55
104,43,18,2,43.99
105,44,16,2,4.73
106,44,2,2,31.76
107,44,40,2,12.56
108,45,48,2,30.19
109,45,17,2,43.73
110,45,46,2,43.37
111,45,24,2,11.0
112,46,35,1,27.05
113,46,21,3,21.81
