order_id,user_id,session_id,total_amount,discount_amount,created_at,status
1,1,2,158.16,0,2024-05-13 15:32:20,refunded
2,5,9,253.03,75.91,2024-06-03 23:37:33,refunded
3,7,18,203.49,,2024-02-15 09:19:50,refunded
4,7,19,81.15,,2024-07-03 15:17:08,completed
5,9,23,50.89,,2024-04-11 02:22:48,completed
6,9,24,47.04,,2024-05-28 18:20:10,pending
7,9,22,305.01,30.5,2024-06-04 09:34:16,completed
8,10,28,185.32,0,2024-02-21 23:55:10,pending
9,10,29,186.31,10,2024-04-25 08:07:28,pending
10,11,30,76.17,11.43,2024-03-21 03:07:56,completed
11,13,37,70.71,0,2024-06-25 23:58:10,completed
12,15,42,235.8,23.58,2024-06-17 14:34:31,completed
13,17,46,118.36,5,2024-06-05 19:44:12,cancelled
14,19,53,53.15,0,2024-06-22 06:20:00,pending
15,20,59,35.28,0,2024-05-19 06:46:49,refunded
16,22,63,119.03,,2023-08-18 02:07:09,refunded
17,22,64,226.01,10,2023-12-13 10:05:26,cancelled
18,23,68,33.21,,2023-09-12 22:28:39,completed
19,23,65,176.16,0,2024-02-23 03:30:28,refunded
20,23,69,196.47,,2024-04-11 10:53:06,completed
21,24,70,43.44,,2024-07-01 23:22:48,completed
22,26,902900,60.11,,2024-05-09 03:24:00,cancelled
23,27,81,34.02,6.8,2024-05-13 10:21:14,completed
24,27,87,66.66,10,2024-04-23 23:24:51,completed
25,28,89,52.94,5.29,2024-04-08 09:55:28,completed
26,29,92,35.33,,2024-06-26 22:22:04,pending
27,29,90,43.44,10,2024-06-22 19:20:33,completed
28,30,93,187.02,37.4,2023-10-09 04:24:55,completed
29,30,94,141.78,0,2023-11-05 06:56:07,refunded
30,31,95,29.68,,2024-05-09 06:30:55,completed
31,32,96,106.62,0,2023-07-23 10:52:33,cancelled
32,33,97,73.68,0,2024-05-17 21:36:43,completed
33,35,99,126.21,,2024-01-18 16:56:40,completed
34,36,100,216.49,0,2023-08-27 07:46:44,cancelled
35,37,101,291.95,0,2024-07-03 08:29:58,cancelled
36,38,103,84.55,,2023-11-21 10:10:56,completed
37,39,104,171.07,0,2024-03-30 03:03:58,refunded
38,41,112,146.84,0,2024-05-14 12:01:26,completed
39,41,110,29.68,5,2024-01-11 20:45:07,completed
40,43,121,96.74,0,2024-04-09 21:58:11,pending
41,43,120,109.64,21.93,2024-03-13 09:10:31,cancelled
42,44,124,227.47,0,2024-01-10 13:59:49,cancelled
43,44,122,108.53,10,2024-02-16 19:23:08,completed
44,46,131,98.1,0,2024-07-13 21:01:40,completed
45,47,136,256.58,0,2024-06-14 15:57:02,cancelled
46,48,138,247.03,0,2024-03-22 09:07:17,cancelled
