session_id,user_id,utm_source,utm_medium,utm_campaign,bounced,duration_s,device
1,1,organic,organic,,True,0,mobile
2,1,instagram,social,INSTAGRAM_WELCOME,False,1214,mobile
3,1,google,cpc,GOOGLE_BRAND,False,1286,mobile
4,2,organic,organic,,False,861,mobile
5,2,,,,False,952,tablet
6,3,instagram,social,INSTAGRAM_SUMMER24,False,,desktop
7,4,google,cpc,GOOGLE_SUMMER24,False,1578,mobile
8,5,instagram,social,INSTAGRAM_RETARGET,False,92,tablet
9,5,direct,,,False,1102,tablet
10,5,organic,organic,,True,0,tablet
11,6,google,cpc,GOOGLE_RETARGET,False,641,mobile
12,6,,,,False,1088,tablet
13,6,facebook,social,FACEBOOK_RETARGET,False,400,desktop
14,6,facebook,social,FACEBOOK_SUMMER24,True,0,mobile
15,6,instagram,social,INSTAGRAM_SPRING24,False,1347,desktop
16,7,email,email,EMAIL_BRAND,True,0,mobile
17,7,organic,organic,,True,0,tablet
18,7,instagram,social,INSTAGRAM_RETARGET,True,0,desktop
19,7,organic,organic,,True,0,tablet
20,7,facebook,social,FACEBOOK_SPRING24,False,567,tablet
21,8,instagram,social,INSTAGRAM_BRAND,True,0,mobile
22,9,google,cpc,GOOGLE_SUMMER24,False,1717,mobile
23,9,organic,organic,,False,95,mobile
24,9,facebook,social,FACEBOOK_SPRING24,True,0,mobile
25,9,email,email,EMAIL_RETARGET,True,0,mobile
26,10,organic,organic,,True,0,desktop
27,10,facebook,social,FACEBOOK_WELCOME,True,0,mobile
28,10,email,email,EMAIL_SPRING24,False,752,desktop
29,10,organic,organic,,True,0,mobile
30,11,organic,organic,,True,0,desktop
31,12,facebook,social,FACEBOOK_SPRING24,False,716,desktop
32,12,,,,False,1757,desktop
33,12,,,,True,0,tablet
34,12,direct,,,True,0,tablet
35,12,email,email,EMAIL_RETARGET,True,0,desktop
36,12,facebook,social,FACEBOOK_SPRING24,False,1732,mobile
37,13,google,cpc,GOOGLE_RETARGET,False,144,desktop
38,13,organic,organic,,False,1586,tablet
39,14,instagram,social,INSTAGRAM_BRAND,True,0,tablet
40,14,instagram,social,INSTAGRAM_RETARGET,True,0,tablet
41,14,google,cpc,GOOGLE_SUMMER24,False,976,mobile
42,15,facebook,social,FACEBOOK_WELCOME,False,118,tablet
43,16,email,email,EMAIL_SPRING24,False,1655,mobile
44,16,instagram,social,INSTAGRAM_WELCOME,True,0,desktop
45,16,organic,organic,,True,0,desktop
46,17,google,cpc,GOOGLE_SPRING24,False,1282,tablet
47,18,organic,organic,,False,759,mobile
48,18,facebook,social,FACEBOOK_BRAND,False,1482,tablet
49,18,google,cpc,GOOGLE_SUMMER24,True,0,desktop
50,19,organic,organic,,False,232,mobile
51,19,google,cpc,GOOGLE_RETARGET,True,0,tablet
